EQUIPO;PUNTOS
BARCELONA;74626
TOTTENHAM;68122
REAL MADRID;65885
INTERNAZIONALE;56250
MILAN;52980
MANCHESTER CITY;48251
CHELSEA ;38828
BAYERN MUNCHEN;32636
BAYER LEVERKUSEN;20958
MANCHESTER UNITED;19600
WOLFSBURGO;18600
JUVENTUS;15624
SOUTHAMPTON;12221
ARSENAL;7748
WERDER BREMEN;7664
VALENCIA;5997
FULHAM;4720
LIVERPOOL;3714
LAZIO;3529
SCHALKE 04;1322
OSASUNA;1024
NAPOLI;-289
MALAGA;-686
HAMBURGO;-1539
PORTO;-2603
DINAMO KIEV;-2637
GLASGOW CELTIC;-2851
ATLETICO MADRID;-3143
GLASGOW RANGERS;-3208
PARIS SAINT GERMAIN;-3237
BORUSSIA DORTMUND;-3265
LYON;-3272
ROMA;-3370
OLIMPIQUE MARSEILLE;-3413
FIORENTINA;-3444
FENERBAÇHE;-3575
LILLE;-3578
HOFFENHEIM;-3584
BENFICA;-3637
STUTGART;-3653
AJAX;-3758
READING;-3824
SHAKHTAR DONESTK;-3830
